@default,Genus,,,,Character,,Character,,Country,Character
Id,屬,名稱,別名,卷數,作者,作者描述,註解作者,註解描述,國家,人,存疑
int,int,string,string[],int,int[],string[],int[],string[],int[],int[],string[]
id,genus,name,alias,volume,author,authorDescribe,annotator,annotateDescribe,country,person,unansweredQuestion
10130001,10130,"元史",,210,1600180001,"官修"
10130002,10130,"元史氏族表",,3,1700180010
10130003,10130,"元史本證",,50,1700180048&1700180049,"撰&補"
10130004,10130,"元史譯文證補",,30,1700180050
10130005,10130,"元史地名考",,-1,1700180051&1700180052,"撰&錄"
10140001,10140,"明史",,332,1700180053,"官修"
10140002,10140,"明史攷證攟逸",,42,1700180054&1700180055
10140003,10140,"明史考證",,332,1800180003
10150001,10150,"清史稿",,536,1800180004,"官修"
10160001,10160,"兩漢刊誤補遺",,10,1400280002
10160002,10160,"諸史然疑",,1,1700180004
10160003,10160,"遼金元三史國語解",,46,1700180056,"官修"
11010001,11010,"竹書紀年",,1,,,1000380001,"注〖舊題〗",,,"annotator"
11010002,11010,"竹書統箋",,12,1700180057
11010003,11010,"竹書紀年集證",,50,1700180058
11010004,11010,"汲冢紀年存真",,2,1700180059
11020001,11020,"資治通鑑",,294,1400180007,,1400280003,"音註"
11020002,11020,"資治通鑑考異",,30,1400180007
11020003,11020,"資治通鑑釋例",,1,1400180007
11020004,11020,"資治通鑑目錄",,30,1400180007
11020005,11020,"通鑑地理通釋",,14,1400280004
11020006,11020,"通鑑釋文辯誤",,12,1400280003
11020007,11020,"資治通鑑補",,294,1600180002
11020008,11020,"通鑑胡注舉正",,1,1700180060
11020009,11020,"通鑑注辨正",,2,1700180010
11020010,11020,"通鑑注商",,18,1700180061
11020011,11020,"資治通鑑地理今釋",,16,1700180062
11020012,11020,"胡刻通鑑正文校宋記",,30,1700180063
11030001,11030,"綱目續麟",,20,1600180003
11030002,11030,"綱目分注拾遺",,4,1700180064
11030003,11030,"綱目訂誤",,4,1700180060
11030004,11030,"讀通鑑綱目條記",,20,1700180065
11040001,11040,"資治通鑑外紀目錄",,5,1400180008
11040002,11040,"資治通鑑外紀",,10,1400180008
11040003,11040,"資治通鑑前編",,18,1400280005
11040004,11040,"資治通鑑前編舉要",,3,1400280005
11050001,11050,"資治通鑑後編",,184,1700180066
11050002,11050,"續資治通鑑",,220,1700180032
11060001,11060,"大事記",,12,1400280006
11060002,11060,"大事記通釋",,3,1400280006
11060003,11060,"大事記解題",,12,1400280006
11070001,11070,"皇王大紀",,80,1400280007
11070002,11070,"古史紀年",,14,1700180067
11070003,11070,"古史考年異同表",,2,1700180067
11070004,11070,"戰國紀年",,6,1700180067
11070005,11070,"周季編略",,9,1700180068
11080001,11080,"前漢紀",,30,700180002
11080002,11080,"後漢紀",,30,900280001
11080003,11080,"西漢年紀",,30,1400280008
11090001,11090,"元經",,10,1100680002&1200180013,"〖舊題〗&續併作傳",1400180009,"註",,,"author"
11100001,11100,"唐創業起居注",,3,1200180014
11110001,11110,"太宗皇帝實錄",,80,1400180010
11110002,11110,"中興小紀",,40,1400280009
11110003,11110,"續資治通鑑長編",,520,1400650001
11110004,11110,"增入名儒講義皇宋中興兩朝聖政",,64,1400280011
11110005,11110,"皇宋十朝綱要",,25,1400280012
11110006,11110,"建炎以來繫年要錄",,200,1400280013
11110007,11110,"九朝編年備要",,30,1400280014
11110008,11110,"續宋編年資治通鑑",,15,1400280015
11110009,11110,"靖康要錄",,12,1400280000
11110010,11110,"兩朝綱目備要",,16,1500180000
11110011,11110,"宋季三朝政要",,6,1500180000
11110012,11110,"宋史全文",,36,1500180000
11110013,11110,"續資治通鑑長編拾補",,60,1700180069&1700180070,"輯"
11120001,11120,"元史續編",,16,1600180004
11120002,11120,"蒙古通鑑長編",,8,1700180013
11130001,11130,"明實錄",,3058,,"官修"
11130002,11130,"昭代典則",,28,1600180005
11130003,11130,"憲章錄",,47,1600180006
11130004,11130,"兩朝憲章錄",,20,1600180007
11130005,11130,"皇明大政紀",,25,1600180008
11130006,11130,"皇明從信錄",,40,1600180009,,1600180010,"訂補"
11130007,11130,"兩朝從信錄",,35,1600180010
11130008,11130,"皇明通紀法傳全錄",,28,1600180009,,1600180011&1600180012,"訂&增刪"
11130009,11130,"皇明法傳錄嘉隆紀",,6,1600180011,"輯"
11130010,11130,"皇明續紀三朝法傳全錄",,16,1600180011,"輯"
11130011,11130,"國榷",,108,1600180013
11130012,11130,"憲章外史續編",,14,1700180071
11130013,11130,"資治通鑑綱目三編",,40,1700180053,"官修"
11130014,11130,"明鑑易知錄",,15,1700180072
11130015,11130,"明通鑑",,90,1700180016
11130016,11130,"山書",,18,1700180073
11130017,11130,"小腆紀年附考",,20,1700180074
11140001,11140,"大清太祖實錄",,4,,"官修"
11140002,11140,"皇清開國方略",,32,1700180075,"官修"
11140003,11140,"東華錄",,32,1700180076
11140004,11140,"東華錄",,194,1700180013
11140005,11140,"東華續錄",,650,1700180013&1700180077
11150001,11150,"通紀",,20,1200180015&1400180011
11150002,11150,"稽古錄",,20,1400180007
11150003,11150,"編年通載",,10,1400180012
11150004,11150,"通鑑續編",,24,1500180002
11150005,11150,"大事記續編",,77,1600180014
11150006,11150,"綱鑑易知錄",,92,1700180072
11150007,11150,"歷代通鑑輯覽",,120,1700180056&1700180078,"批官修&官修"
12010001,12010,"逸周書",,10,900180003
12010002,12010,"周書集訓校釋",,10,1700180059
12010003,12010,"周書斠補",,4,1700180079
12010004,12010,"王會篇箋釋",,3,1700180080
12020001,12020,"帝王世紀",,10,900180004,,1700180081,"集校"
12020002,12020,"帝王世紀續補",,1,1700180082,"輯并撰"
12020003,12020,"帝王世紀考異",,1,1700180083,"輯并撰"
12030001,12030,"世本",,5,700180003,,1700180083,"輯並補注"
12030002,12030,"古史",,60,1400180013
12030003,12030,"尚史",,107,1700180084
12030004,12030,"春秋別典",,15,1600180015
12030005,12030,"春秋戰國異辭",,55,1700180085
12040001,12040,"東觀漢記",,24,700180004,"官修"
12040002,12040,"後漢書補逸",,21,1700180086
12050001,12050,"續後漢書",,49,1400280016
12050002,12050,"郝氏續後漢書",,90,1500180003
12060001,12060,"南北史合注",,191,1600180016
12060002,12060,"西魏書",,24,1700180087
12070001,12070,"隆平集",,20,1400180014
12070002,12070,"東都事略",,130,1400280017
12070003,12070,"宋史新編",,200,1600180017
12070004,12070,"宋史翼",,40,1700180088
12080001,12080,"重訂契丹國志",,28,1400280018,"官修",1700180056,"重訂（官修）"
12090001,12090,"重訂大金國志",,40,1400280019,"舊題",1700180056,"重訂（官修）"
12100001,12100,"元朝秘史",,10,1500180000
12100002,12100,"元朝祕史注",,15,1700180051
12100003,12100,"元祕史李注補正",,15,1700180089
12100004,12100,"元祕史注補正續編",,1,1700180089
12100005,12100,"元祕史山川地名考",,10,1700180090
12100006,12100,"續弘簡錄元史類編",,42,1700180091
12100007,12100,"元史新編",,95,1700180092
12110001,12110,"續藏書",,27,1600180018
12110002,12110,"皇明書",,45,1600180019
12110003,12110,"皇明史竊",,105,1600180020
12110004,12110,"石匱書",,221,1700180093
12110005,12110,"石匱書後集",,63,1700180093
12110006,12110,"罪惟錄",,90,1700180094
12110007,12110,"明史",,416,1700180095
12110008,12110,"東南紀事",,12,1700180096
12110009,12110,"西南紀事",,12,1700180096
12110010,12110,"南疆逸史",,56,1700180097&1700180098
12110011,12110,"小腆紀傳",,65,1700180074&1700180099
12120001,12120,"建康實錄",,20,1200180016
12120002,12120,"通志",,200,1400180015
12120003,12120,"路史",,47,1400280020
12120004,12120,"古今紀要",,19,1400280021
12120005,12120,"藏書",,68,1600180018
12120006,12120,"弘簡錄",,254,1600180021
12120007,12120,"續通志",,640,1700180100&1700180101,"官修"
13010001,13010,"春秋左傳事類始末",,5,1400280022
13010002,13010,"左傳紀事本末",,53,1700180102
13020001,13020,"三朝北盟會編",,250,1400280023
13020002,13020,"宋史紀事本末",,28,1600180022,"原編",1600180023,"増輯"
13020003,13020,"皇宋通鑑長編紀事本末",,150,1400280024
13030001,13030,"遼史紀事本末",,40,1700180103
