@default,Version,Chapter,,,Character
Id,版本,章,章節名字,卷,其他作者,作者描述,標題,標題（簡稱）,目錄
int64,int,int,string,int,int[],string[],string,string,string
id,version,chapter,chapterName,volume,otherAuthor,authorDescribe,title,abbreviation,directory
1001000136065,100100013,6,"列傳",65
1001000136066,100100013,6,"列傳",66
1001000136067,100100013,6,"列傳",67
1001000136068,100100013,6,"列傳",68
1001000136069,100100013,6,"列傳",69
1001000136070,100100013,6,"列傳",70
1001000137001,100100013,7,"後序",1,1200180001,,"補史記序"
1001000137002,100100013,7,"後序",2,1200180001,"補撰并注","補史記"
1001000137003,100100013,7,"後序",3,1200180002,,"史記正義論例諡法解列國分野","正義論例"
1001000137004,100100013,7,"後序",4,1700180868,,"考證跋語"
